eval_id,customer_message,human_intent,human_escalation,human_escalation_reason,human_quality_score_1_5,human_notes
GOLD_APPLE_032,Bu ne biçim Afyonkarahisar [USER] [CUSTOMER] [URL],,,,,
GOLD_APPLE_033,[CUSTOMER] [USER],,,,,
GOLD_APPLE_034,Is this a scam? [USER] [URL],,,,,
GOLD_APPLE_035,[USER] What Can I Do? [URL],,,,,
GOLD_APPLE_036,[CUSTOMER] [CUSTOMER] [USER] explain... [URL],,,,,
GOLD_APPLE_037,[USER] I don't want my iPhone to notify me twice about the same SMS. That is so confusing.,,,,,
GOLD_APPLE_038,Bir başka Safari problemi daha bookmarktan girdiğiniz sitenin title'ı kaydettiğiniz gibi kalıyor yeni sürümde. Neden yahu :( [USER],,,,,
GOLD_APPLE_039,[USER] why does iMessage hate me lol ..,,,,,
GOLD_APPLE_040,[USER] what the heck [URL],,,,,
GOLD_APPLE_041,"Hi [USER] Since macOS High Sierra install, my external SD card is removed every time it’s back from sleep. That didn’t happen before",,,,,
GOLD_APPLE_042,[USER] reported green vertical line issue Monday 20th. Was told I’d have a resolution by today with a replacement phone. Now told I have to travel 1.5 hrs to an Apple Store in the hope of a walk-in appointment??? This is a £1000 iPhone X .... very disappointed,,,,,
GOLD_APPLE_043,[USER] my airprint isn’t working ☹️,,,,,
GOLD_APPLE_044,I really hate the new #applenews as I don’t get news only on topics I like but other stuff I don’t want [USER] [CUSTOMER],,,,,
GOLD_APPLE_045,"[USER] ""we're here to provide tips, tricks and helpful information"" ok so can you help me then?",,,,,
GOLD_APPLE_046,[USER] will I ever receive a email from Apple about a possible compromised login? probably a phishing scam just checking to be sure,,,,,
GOLD_APPLE_047,[USER] I️ bought this $800 phone two weeks ago for it to work. Not to keep having issues. Fix your phones.,,,,,
GOLD_APPLE_048,tell me when will you send your god damn confirmation message. ı cant use my blasted phone. would you like help me ? [USER],,,,,
GOLD_APPLE_049,"[USER] everytime I go into social media I cannot DM anyone photos, not on twitter or Facebook. I have over 7k photos here it’s says 0 [URL]",,,,,
GOLD_APPLE_050,[USER] y’all wanna tell me what the hell is going on with my computer? It’s brand new and expensive as hell. Stop playing games. [URL],,,,,
GOLD_APPLE_051,#help [USER] can you help me out please? Basically I bought music from iTunes n now my phones wiped I can’t seem to find it at all ?,,,,,
GOLD_APPLE_052,[USER] hi there any idea how I can get a duplicate copy of my work request sheet for recent work carried out in my MacBook - lost original,,,,,
GOLD_APPLE_053,"[USER] my Apple watch series 3 keeps telling me it can't send SMS messages, but iMessage works. It was working fine yesterday. Can't receive SMS on the watch either.",,,,,
GOLD_APPLE_054,[USER] why tf when its 9:30 pm and I ask siri to set a 6:30 alarm she sets it for 21 hours in advance to 6:30 PM?? sooooo dumb,,,,,
GOLD_APPLE_055,[CUSTOMER] [CUSTOMER] [USER] just told me that I’m stuck with it because previous OS is not available. [USER] please hurry with patches to CC. #sucks,,,,,
GOLD_APPLE_056,.[CUSTOMER] site is worthless with the Safari browser on my Macbook Pro. It does not function right with Safari. What should I do? Not liking the idea of using another browser. .[USER],,,,,
GOLD_APPLE_057,[USER] [USER] do you need to enter a password to factory reset an iPad?,,,,,
GOLD_APPLE_058,"[USER] I keep getting prompts in iOS11 to set up 2FA, but when I tap on them they just disappear and nothing else happens.",,,,,
GOLD_APPLE_059,[USER] what do I do with error code 4037. Just upgrades to a 7 and get this message when trying to update. #help,,,,,
GOLD_APPLE_060,"[USER] can you fix ios11. My music app won’t let me download songs, it won’t load on my Apple Watch, the screen freezes.",,,,,
GOLD_APPLE_061,[USER] Is there a remove download from iPad without deleting file from iCloud in Files app? iOS 10 had this. Can’t find in Files.,,,,,
GOLD_APPLE_062,Sick! Forgot my #apple iCloud password and it’s connected to my old number that i don’t have anymore 😬 [USER],,,,,
GOLD_APPLE_063,[USER] Since upgrading to iOS 11 on my 5S my photos won't download from iCloud even though phone has 12GB storage available. Why not?,,,,,
GOLD_APPLE_064,#BlackFriday [CUSTOMER] should roll back #iOS updates. #iphone keeps typing all these characters for different letters I️ #ITRTG [USER] [URL],,,,,
GOLD_APPLE_065,[USER] Hello! Do you guys know if it is possible to store the Photos app library in a NAS? I don’t need to sync iCloud. Thank you!,,,,,
GOLD_APPLE_066,"Day 6 in the iTunes Lockout. I cannot get help or explanation. Cannot download apps, update them or play music on my iPhone. I bet some angry employee locked a thousand accounts and now won't pick up at 1-866-9703764 #BadApple [USER] [CUSTOMER]",,,,,
GOLD_APPLE_067,"[USER] This dialogue has started appearing every time I unlock my device, even though I've completed the share. (It offers to share the same WiFi password each time.) I upgraded some days ago to iOS 11.1.2. I can't even find where to turn this feature off. [URL]",,,,,
GOLD_APPLE_068,[USER] if you accidentally text a number that you've blocked will that message be received by them?,,,,,
GOLD_APPLE_069,[USER] both my mom and I were transferred to an Apple care rep from Verizon. After being on hold for ~10 minutes the line went dead. Lazy Apple care reps tonight?,,,,,
GOLD_APPLE_070,[USER] I’m having trouble setting up my iCloud Music Library on my iPhone 7+. It’s been saying “temporarily unavailable” all day. Can you help?,,,,,
GOLD_APPLE_071,[USER] I’m getting really tired of looking at this mess when I try to manage iCloud apps w/iOS 11.0.2 &amp; 8 Plus. 😾😾 [URL],,,,,
GOLD_APPLE_072,"[USER] Is ""Siri voice"" synced via iCloud? All my devices now use American (Female) despite me only changing it on my iPhone yesterday?",,,,,
GOLD_APPLE_073,[USER] I have upgraded my Iphone IOS 11.2 and all photos are gone! Is possible to retrieve it in the Icloud?,,,,,
GOLD_APPLE_074,"[USER] Hi If I uncheck desktop &amp; documents from iCloud so that my docs only get store on mac &amp; not iCloud, will it delete my docs?",,,,,
GOLD_APPLE_075,"[USER] my iPhone 6 has deleted all my notes. Not using email, not using cloud. Didn't delete them. How do I get them back?",,,,,
GOLD_APPLE_076,"[USER] dear apple support my storage almost full, and i checked my storage full with other, can u tell me why?",,,,,
GOLD_APPLE_077,"[CUSTOMER] [USER] I spent the evening at Grand Central due to a continued terrible and mysterious ""FaceID true depth camera disabled"" error and received no solution - help! [URL]",,,,,
GOLD_APPLE_078,Why every time I️ type I️ it’s a question mark [USER],,,,,
GOLD_APPLE_079,"[USER] My iPhone won't backup to iCloud whenever I plug in. I've been trying all week and nothing will work. When I go to settings and click back up now, it never finishes. Would resetting all the settings fix things?",,,,,
GOLD_APPLE_080,[USER] my 7 plus iPhone for the third time after I did the last update hanged on me and I had to restart it so what is the problem ?,,,,,
GOLD_APPLE_081,[USER] [CUSTOMER] your new update is crap. Yes. My phone is brand new. No it’s not a backup [URL],,,,,
GOLD_APPLE_082,"So, [CUSTOMER], I rly wish there was a way to, not ""move to trash"" a sender, but to completely block one. [URL] [USER]",,,,,
GOLD_APPLE_083,Hey [USER] [CUSTOMER] why did I play soccer and come back to every contact in my phone deleted? 2nd time that’s happened. #whatgives,,,,,
GOLD_APPLE_084,my phone has so kindly decided to crash i currently have to use my laptop for all until i restore it to factory settings. I am pissed off not happy [CUSTOMER] [USER] not happy at all.,,,,,
GOLD_APPLE_085,"[USER], my new Iphone doesn't give a signal when I receive a phone call or what's app. they say it's caused by IOS11. is that true?",,,,,
GOLD_APPLE_086,"[USER] hello admin, ask for solution, iPhone 5S iOS 11.0.2 can not be in activation after upgrade [URL]",,,,,
GOLD_APPLE_087,[CUSTOMER] [USER] why does my WiFi keep turning itself on ever since I downloaded the new iOS?,,,,,
GOLD_APPLE_088,MY APPLE MUSIC STILL ISNT WORKING! I AM NOT PAYING FOR A BLACK SCREEN [USER],,,,,
GOLD_APPLE_089,[USER] I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. [URL],,,,,
GOLD_APPLE_090,[USER] notifications for texts on my 6s has stopped but i do receive for imessage,,,,,
GOLD_APPLE_091,latest software 11.2 is good but thr is Sml problem dat wifi remains on even it’s off at shortcut pls advise [USER] [CUSTOMER],,,,,
GOLD_APPLE_092,[USER] and [USER] were NO help to me with my issue. 30 day old iPad and no one will help me fix it!! WTF?!?,,,,,
GOLD_APPLE_093,I can’t receive or send any texts all of a sudden.... wtf [CUSTOMER] [USER] [USER] [CUSTOMER],,,,,
GOLD_APPLE_094,how to transfer my Apple Watch on my new iPhone ? and for AirPods too pls [USER],,,,,
GOLD_APPLE_095,[CUSTOMER] [USER] I can’t play any songs on my phone because every song says this? I have to re-add them to play them [URL],,,,,
GOLD_APPLE_096,"Has the weather widget in iOS ever worked properly? [CUSTOMER], this is your own app, why is it so bad? A reboot only updates it for that moment. If you want to see the widget later, you’ll have to reboot again. That’s really dumb. [USER] [URL]",,,,,
GOLD_APPLE_097,[USER] you guys are terrible back in October you said you’d send me something so I could send in my AirPods for repair since they didn’t work when I bought them. You never sent them to me at fort sill. Thanks!,,,,,
GOLD_APPLE_098,Every time I restart my phone the Bluetooth gets enabled on its own! A bug after #ios11update ? [USER],,,,,
GOLD_APPLE_099,"[USER] I’m next to my internet modem and my iphone do not recognize it, I cant connect to any Wifi after iOS 11 why?",,,,,
GOLD_APPLE_100,[USER] can you like explain to me why FaceTime won’t work for me and my friend who have the latest updates and WiFi????,,,,,
GOLD_APPLE_101,[USER] I joust got a new phone and none of my apps are downloading... I tried like 10 different WiFi connections and they are just sitting there doing nothing 😭😭😭,,,,,
GOLD_APPLE_102,[USER] Bluetooth doesn’t work with my iPhone and iPod,,,,,
GOLD_APPLE_103,[USER] I can not add pictures in Twitter or WhatsApp versions 11.02 6S,,,,,
GOLD_APPLE_104,[USER] just a heads up here's a glitch. Songs get stuck on the lock screen iOS 11.1.2 iPhone X [URL],,,,,
GOLD_APPLE_105,[USER] will I be able to see the new WiFi Toggle on the Series 2 or is it only for Series 3 LTE [URL],,,,,
GOLD_APPLE_106,[USER] why does my phone shut off cellular data when I connect via Bluetooth to my car? It started when I did the 11.2 update.,,,,,
GOLD_APPLE_107,iOS11 has a bug where your phone stops receiving data. Only restarting fixes. [USER],,,,,
GOLD_APPLE_108,"[USER] pinche actualización fea no puedo hablar por altavoz, no se conecta a Bluetooth del coche para escucha música [CUSTOMER] 😡😡",,,,,
GOLD_APPLE_109,Hating - HATING - the #iOS 11 update that turns WiFi back on after disabling [USER],,,,,
GOLD_APPLE_110,"[USER] Very frustrating Apple watch software update, anyone else having this issue? [URL]",,,,,
GOLD_APPLE_111,[USER] why does my WiFi keep turning itself on? I’ve turned it off at least 4 times today,,,,,
GOLD_APPLE_112,"[USER] updated to the latest iOS, now my Bluetooth is always on, I have to manually turn it off, it’s annoying! How do I change it",,,,,
GOLD_APPLE_113,[USER] I've noticed a steady deterioration in the battery life of my iPad Air 2 running iOS 11. It's three years old. Is there a way to run a diagnostics test to determine the battery condition?,,,,,
GOLD_APPLE_114,Oh dear [USER] - what on earth have you done to my phones battery with #iOS11 😟,,,,,
GOLD_APPLE_115,[USER] can y’all please fix the music app in the control panel? i have bluetooth headphones and it won’t let me skip songs. [URL],,,,,
GOLD_APPLE_116,[USER] Could you help with my iPhone battery? Its empty in 22 hours. iPhone 7 Plus,,,,,
GOLD_APPLE_117,"#iOS11 so many bugs, phone freezing, wifi switches on its own, battery drains fast #applesupport [USER]",,,,,
GOLD_APPLE_118,[USER] iOS 11.0.2 is draining my battery like crazy. 😔😫😭 we need a new release ASAP. #iPhone #iOS11,,,,,
GOLD_APPLE_119,Nope. Mine was off. Battery still draining super fast w/ iOS11. Fix needs to be made by [USER] [URL],,,,,
GOLD_APPLE_120,[USER] please do something about iOS 11's battery drain issue. I literally have my iPhone 6 plugged in and it's still losing power.,,,,,
GOLD_APPLE_121,[USER] why has the update ruined by battery life ?😒😒,,,,,
GOLD_APPLE_122,[USER] any fixes for the degraded battery life stemming from the iOS 11 software updates?,,,,,
GOLD_APPLE_123,[USER] I upgraded to ios11.1.2 and it has utterly fucked my phone. Everything is much slower to load and my battery dies in half the time. What have you done?!,,,,,
GOLD_APPLE_124,"[USER] iOS 11.0.2 on my new iPhone 8 plus=LAGGY/stuttering, draining like crazy, and taking HOURS to charge. What is going on?",,,,,
GOLD_APPLE_125,[USER] Battery on iPhone 7 is now useless after the latest update. Why is this? I’m not the only one...,,,,,
GOLD_APPLE_126,"Don’t know what [USER] have done to my iPhone but I’ve lost 30% battery in just over 1 hour, not used it any more than normal 🙄",,,,,
GOLD_APPLE_127,[USER] I am experiencing terrible battery life since IOS 11 &amp; 11.0.2! Iphone 7 plus. [CUSTOMER],,,,,
GOLD_APPLE_128,[USER] why has my battery life has degraded since iOS11 update. battery doesn’t last a day in ’low battery‘? #ios11update #frustrated,,,,,
GOLD_APPLE_129,[USER] I mailed in a working phone to have the battery replaced. It was sent back not fixed phone back and it doesn’t work at all! 😡,,,,,
GOLD_APPLE_130,[USER] #apple #IOS11 PLEASE HELP! HAS DONE THIS 4 TIMES SINCE UPDATING! Has done on this on 1.0.1 &amp; 1.0.2 it Doesn’t let u power off [URL],,,,,
GOLD_APPLE_131,Nauwelijks de telefoon gebruikt vandaag en nu voor de 2e keer aan de oplader. Dit is knap waardeloos [USER],,,,,
GOLD_APPLE_132,[USER] my iPhone 6s plus stopped charging 2days ago. Bought in July 17. Service centre not ready to repair. Can u help,,,,,
GOLD_APPLE_133,[USER] what the hell have you done to my battery on?! #ios11update just took me down from 30% to this in 1 min! #batterydrain 😡 [URL],,,,,
GOLD_APPLE_134,"After installing iOS 11.1.2 apple apps close such as Podcasts, while playing and also apps from other developers. iPhone also feels slow and it gets hot and battery is running lower than usual. [CUSTOMER] [USER] #ios1112",,,,,
GOLD_APPLE_135,My battery runs out so fast with IOS 11 😡 [USER],,,,,
GOLD_APPLE_136,[USER] Is there a rough rough estimate on how much replacing+installing new iphone6s battery would cost at an Apple store?,,,,,
GOLD_APPLE_137,[USER] I'm done with ur products! Had this crapple iPhone 6s since feb &amp; battery drains so fast! I'm over it😡 3rd 1 in 16 months!,,,,,
GOLD_APPLE_138,#iPhone8Plus is #BatterySplit ! Please #fix it #Apple ! [USER] [CUSTOMER],,,,,
GOLD_APPLE_139,[USER] terrible battery life on the iPhone 8.. if u use iMessage constantly the battery lasts no more than 3-4 hours,,,,,
GOLD_APPLE_140,Can [USER] help me in checking my iphone battery life....!,,,,,
GOLD_APPLE_141,fix this bc APPLE MUSIC IS $10 NOT $15 [CUSTOMER] [USER] [URL],,,,,
GOLD_APPLE_142,My music isn’t downloading again😡😡 [CUSTOMER] [USER],,,,,
GOLD_APPLE_143,"[USER] Hi this is my brand new MacBook Pro 3.1 Ghz touchpad and this is from closing the laptop, very disappointed in my purchase!!! [URL]",,,,,
GOLD_APPLE_144,.[USER] [CUSTOMER] [CUSTOMER] idk whose fault it is but I want to be able to control my Spotify music in the iOS 11 control panel.,,,,,
GOLD_APPLE_145,[USER] Hi need some help in getting touch with an apple rep who can assist me with apple care pls,,,,,
GOLD_APPLE_146,[USER] why is my payment card being declined when I try to update it? My bank confirmed all is good on their side.,,,,,
GOLD_APPLE_147,"Welp, iOS 11.0.2 has officially ruined my battery. Have charged my iPhone 7 three times today. [CUSTOMER] [USER] will 11.0.3 resolve?",,,,,
GOLD_APPLE_148,[USER] how do I fix my songs being out of order and an album? [URL],,,,,
GOLD_APPLE_149,[USER] App Store not working for me. It’s not downloading any apps.,,,,,
GOLD_APPLE_150,"[CUSTOMER] [CUSTOMER] [USER] - Made a purchase and have not received my goods, any way any of you can assist?",,,,,
GOLD_APPLE_151,"[USER] Heard your offering a deal today, That you receive a gift card with a purchase. Can this be used along with student discount aswell ? 🍎 Regards",,,,,
GOLD_APPLE_152,[USER] will there be a fix for the poor #batterylife after update #iOS11 my phone has to be charged several times a day after #SE,,,,,
GOLD_APPLE_153,"When you add iTunes Match, via iTunes Store, there’s no confirmation that I actually added iTunes Match. Isn’t there suppose to be that, [USER]? Or how do you see that you added iTunes Match? iTunes Match fully functional?",,,,,
GOLD_APPLE_154,"[USER] hi, I have some problems with my appletv 4, I can’t download anything on App Store but have 10 mb of internet [URL]",,,,,
GOLD_APPLE_155,[CUSTOMER] [USER] help? [URL],,,,,
GOLD_APPLE_156,[USER] this was a fraudulent purchase. I do not own an apple product. Can you help? [URL],,,,,
GOLD_APPLE_157,[USER] is it possible to transfer purchases from 1 Apple is to another?,,,,,
GOLD_APPLE_158,Anybody else having issues with iPhone ios11.0.2? App Store won't download &amp; won’t update any apps! [CUSTOMER] [CUSTOMER] [USER] #appstore,,,,,
GOLD_APPLE_159,"[USER] Hi, could I exchange the color of my iPhone?",,,,,
GOLD_APPLE_160,[USER] [USER] hey I just purchased this iPhone 8 Plus and I’ve been trying to do this update for AGES to get it to turn on. It says verifying update for ages and then fails. Please help?!?!! [URL],,,,,
GOLD_APPLE_161,[USER] Is the one-day shopping event only for the Apple Store online or it’s also for retail stores?,,,,,
GOLD_APPLE_162,hey [USER] - my iphone battery is dropping to single digits withing 3 hours of being charged. Can you help figure out why?,,,,,
GOLD_APPLE_163,"[USER] Am finding it impossible to cancel my subscription, it is stuck in a loop, can you PM me please? Thanks",,,,,
GOLD_APPLE_164,[USER] how do i cancel youtube tv?,,,,,
GOLD_APPLE_165,[USER] the #Android version of d [CUSTOMER] app is a clunky crapfest. Doesn't even play songs all the way through. Many bugs.FIX IT!,,,,,
GOLD_APPLE_166,[USER] can you tell me why the new updates now make my iphone6s die at 40% battery? Or if charged overnight to 100% it dies as soon as its unlocked,,,,,
GOLD_APPLE_167,Is App Store down? [USER],,,,,
GOLD_APPLE_168,[USER] My Apple Watch keeps turning off and on by itself and it’s charged. What do I do?,,,,,
GOLD_APPLE_169,"[USER] [CUSTOMER] #iOS11 has made calls on my #iPhone6 inaudible unless I use headphones 🎧 or place the call on speaker. I upgraded to iOS11.1.2, the problem remains.Any help?",,,,,
GOLD_APPLE_170,Now my touch screen is freaking out on the new IOS. [USER] I should have known better than to upgrade my iOS.,,,,,
GOLD_APPLE_171,[USER] your product keeps freezing on me when I switch apps. Thought you fixed this last update but I guess not.,,,,,
GOLD_APPLE_172,[USER] ever since updating my iPhone 7 Plus to iOS 11 I’m having MAJOR Bluetooth connectivity issues with my Bluetooth speaker,,,,,
GOLD_APPLE_173,[USER] Can I use a 3.5MM microphone to record audio on the Camera app on my iPod Touch running iOS 11?,,,,,
GOLD_APPLE_174,[USER] my speakerphone doesn’t work. Did anyone test ios 11 before it was released ? It’s a fucking disgrace !,,,,,
GOLD_APPLE_175,"Apple can I have the option back for auto brightness, would be fab since my battery is atrocious anyway 👍🏻 [USER] [CUSTOMER]",,,,,
GOLD_APPLE_176,"[USER] Hi, I have a problem with my rMBP early 2015. This evening I was working on it when suddenly touchpad and keyboard stopped responding (power button excl.). I tried force restart, when the computer was rebooting it displayed these images. What's the issue? [URL]",,,,,
GOLD_APPLE_177,So despite having insurance [USER] in exeter won't replace the screen he cracked yesterday because of a 'moisture dot'...,,,,,
GOLD_APPLE_178,[USER] how can I get my MacBook pro to trust my new iPhone ?,,,,,
GOLD_APPLE_179,Hey [USER] my iPhone 6 screen cracked cause it was so cold! Genuinely! Is their anything I can do about this :(,,,,,
GOLD_APPLE_180,"I got my phone fixed 2 weeks ago and I just dropped my phone with a case on it ON CARPET from at MOST four feet, and my screen shattered.... [USER] how?",,,,,
GOLD_APPLE_181,"[USER] Help! Everytime I type ""I"", a box showing an A and a question mark pop up. And displays as a barcode. Please fix asap!",,,,,
GOLD_APPLE_182,"[USER] since updating to 11.1 this am, sound volume on phone calls (handset) very quite - speaker and Bluetooth works fine - pls help",,,,,
GOLD_APPLE_183,"+++ Siz de benzer şekilde sorun yaşıyorsanız lütfen ""High Sierra random display sleep"" başlığına şikayet yazın. [URL] [USER]",,,,,
GOLD_APPLE_184,Some weird dots on my #iphonex any idea what they are? [USER] [URL],,,,,
GOLD_APPLE_185,[USER] My iPhone speaker doesnt work after ios 11.1 update,,,,,
GOLD_APPLE_186,"[USER] [CUSTOMER] ⌚️query, is the toy story feature animation only or do they talk like Mickey&amp;Minnie? Thx",,,,,
GOLD_APPLE_187,Apparently RIP the ability to use my iPhone 8 Plus on speaker phone [USER] [CUSTOMER],,,,,
GOLD_APPLE_188,"Help [USER] since the 11.2 update, I’m having issues with some calls I make and receive: I can hear but the other person on call can’t hear me. Previous to the 11.3 update, my calls would sometimes cancel a second after connecting.",,,,,
GOLD_APPLE_189,My home button is not working [USER] 🙄,,,,,
GOLD_APPLE_190,[USER] This crackling of sound on the new iPhone is for the birds. Fix coming soon?,,,,,
GOLD_APPLE_191,[USER] the newest update makes my phone’s brightness change on its own. How do I make it stop? It’s so irritating!,,,,,
GOLD_APPLE_192,[USER] High Sierra Thunderbolt Display camera freeze issue. Any ideas? [URL],,,,,
GOLD_APPLE_193,MY HOME BUTTON DOESN’T WORK #IOS11 [USER],,,,,
GOLD_APPLE_194,[USER] Hi. Stupid question. From the lock screen on iPhone how do I get to ICE Medical ID info?,,,,,
GOLD_APPLE_195,Can I suggest to [USER] that an option be added for the iPhone X to have battery % displayed up top instead of an icon?,,,,,
GOLD_APPLE_196,[USER] my MBP screen goes completely black out of nowhere. I can see it shows some glitter right before going off. Quite strange. Recently upgraded to High Sierra and got the root security fix this morning.,,,,,
GOLD_APPLE_197,.[CUSTOMER] [USER] would anyone care to get in touch to sort out the mess called High Sierra after it crashed my Mac? I logged a call for support a week ago and again two days ago and no one bothered to contact me #worstcustomercareever,,,,,
GOLD_APPLE_198,[USER] Is the Space Grey 64GB iPhone X in stock in Montreal? (Ste-Catherine store),,,,,
GOLD_APPLE_199,"[USER] I’m experiencing the same thing as many other people, I left for work phone at 100% ten hours later it’s at 20% 😳 bad update 😡",,,,,
GOLD_APPLE_200,Quick [USER] how much charge does my [CUSTOMER] Warch have? [URL],,,,,
